initiative_id,initiative_name,sponsor,owner,handoff,kind,severity,finding,basis,suggested_action
EPR-001,Customer Identity Consolidation,Sponsor 1,Owner 1,PMO Governance Operations Log,Decision Needed,Medium,Approve scope deferral for non-critical reporting fields,Decision flag or request present,Prepare for executive discussion; human decision required.
EPR-001,Customer Identity Consolidation,Sponsor 1,Owner 1,PMO Governance Operations Log,Funding Constraint,High,Funding constraint: incremental support not approved for current quarter.,Funding constraint field populated,Frame as human-owned tradeoff; do not imply approval.
EPR-001,Customer Identity Consolidation,Sponsor 1,Owner 1,PMO Governance Operations Log,Signal Quality,Medium,Weak or stale signal,Evidence: Recent owner update and milestone evidence available; update age: 27 days,Ask for refreshed evidence before relying on this signal.
EPR-002,Billing Rules Cleanup,Sponsor 2,Owner 2,PMO Governance Operations Log,Decision Needed,Medium,Choose whether portal launch waits for Data Platform stabilization,Decision flag or request present,Prepare for executive discussion; human decision required.
EPR-002,Billing Rules Cleanup,Sponsor 2,Owner 2,PMO Governance Operations Log,Dependency,Medium,Depends on Data Platform Stabilization readiness,Dependency field populated,Assess sequencing impact and hand off if deeper capacity planning is needed.
EPR-002,Billing Rules Cleanup,Sponsor 2,Owner 2,PMO Governance Operations Log,Capacity Pressure,High,Shared data/platform team capacity constraint.,Capacity pressure field populated,Review commitment risk and route sequencing question if needed.
EPR-002,Billing Rules Cleanup,Sponsor 2,Owner 2,PMO Governance Operations Log,Funding Constraint,High,Funding constraint: incremental support not approved for current quarter.,Funding constraint field populated,Frame as human-owned tradeoff; do not imply approval.
EPR-002,Billing Rules Cleanup,Sponsor 2,Owner 2,PMO Governance Operations Log,Signal Quality,Medium,Weak or stale signal,Evidence: Recent owner update and milestone evidence available; update age: 26 days,Ask for refreshed evidence before relying on this signal.
EPR-003,Field Service Mobile Refresh,Sponsor 3,Owner 3,PMO Governance Operations Log,Decision Needed,Medium,Confirm adoption evidence threshold before field rollout,Decision flag or request present,Prepare for executive discussion; human decision required.
EPR-003,Field Service Mobile Refresh,Sponsor 3,Owner 3,PMO Governance Operations Log,Blocker,High,Blocked by unresolved process owner or SME availability.,Blocker field populated,Identify sponsor action or accountable path to unblock.
EPR-003,Field Service Mobile Refresh,Sponsor 3,Owner 3,PMO Governance Operations Log,Sponsor Action,High,Sponsor escalation requested for decision and cross-team alignment.,Sponsor action field populated,Add to sponsor action register with owner and date.
EPR-003,Field Service Mobile Refresh,Sponsor 3,Owner 3,PMO Governance Operations Log,Signal Quality,Medium,Weak or stale signal,Evidence: Recent owner update and milestone evidence available; update age: 25 days,Ask for refreshed evidence before relying on this signal.
EPR-004,Data Platform Stabilization,Sponsor 4,Owner 4,PMO Governance Operations Log,Decision Needed,Medium,Decide whether forecasting controls proceed with reduced scope,Decision flag or request present,Prepare for executive discussion; human decision required.
EPR-004,Data Platform Stabilization,Sponsor 4,Owner 4,PMO Governance Operations Log,Dependency,Medium,Depends on Data Platform Stabilization readiness,Dependency field populated,Assess sequencing impact and hand off if deeper capacity planning is needed.
EPR-004,Data Platform Stabilization,Sponsor 4,Owner 4,PMO Governance Operations Log,Capacity Pressure,High,Shared data/platform team capacity constraint.,Capacity pressure field populated,Review commitment risk and route sequencing question if needed.
EPR-004,Data Platform Stabilization,Sponsor 4,Owner 4,PMO Governance Operations Log,Signal Quality,Medium,Stale green status,Evidence: Weak evidence: green status relies on verbal update only.; update age: 24 days,Ask for refreshed evidence before relying on this signal.
EPR-005,Revenue Forecasting Controls,Sponsor 5,Owner 5,PMO Governance Operations Log,Capacity Pressure,High,Shared data/platform team capacity constraint.,Capacity pressure field populated,Review commitment risk and route sequencing question if needed.
EPR-005,Revenue Forecasting Controls,Sponsor 5,Owner 5,PMO Governance Operations Log,Funding Constraint,High,Funding constraint: incremental support not approved for current quarter.,Funding constraint field populated,Frame as human-owned tradeoff; do not imply approval.
EPR-005,Revenue Forecasting Controls,Sponsor 5,Owner 5,PMO Governance Operations Log,Signal Quality,Medium,Weak or stale signal,Evidence: Recent owner update and milestone evidence available; update age: 23 days,Ask for refreshed evidence before relying on this signal.
EPR-006,Customer Portal Modernization,Sponsor 6,Owner 6,PMO Governance Operations Log,Dependency,Medium,Depends on Data Platform Stabilization readiness,Dependency field populated,Assess sequencing impact and hand off if deeper capacity planning is needed.
EPR-006,Customer Portal Modernization,Sponsor 6,Owner 6,PMO Governance Operations Log,Signal Quality,Medium,Stale green status,Evidence: Recent owner update and milestone evidence available; update age: 22 days,Ask for refreshed evidence before relying on this signal.
EPR-007,Regulatory Reporting Remediation,Sponsor 7,Owner 7,PMO Governance Operations Log,Risk,Medium,"Compliance, security, or audit exposure may increase if milestone slips.",Risk field populated,"Summarize impact, mitigation, owner, and escalation need."
EPR-007,Regulatory Reporting Remediation,Sponsor 7,Owner 7,PMO Governance Operations Log,Sponsor Action,High,Sponsor escalation requested for decision and cross-team alignment.,Sponsor action field populated,Add to sponsor action register with owner and date.
EPR-007,Regulatory Reporting Remediation,Sponsor 7,Owner 7,PMO Governance Operations Log,Signal Quality,Medium,Weak or stale signal,Evidence: Recent owner update and milestone evidence available; update age: 21 days,Ask for refreshed evidence before relying on this signal.
EPR-008,Vendor Onboarding Workflow,Sponsor 8,Owner 8,PMO Governance Operations Log,Blocker,High,Blocked by unresolved process owner or SME availability.,Blocker field populated,Identify sponsor action or accountable path to unblock.
EPR-008,Vendor Onboarding Workflow,Sponsor 8,Owner 8,PMO Governance Operations Log,Signal Quality,Medium,Stale green status,Evidence: Recent owner update and milestone evidence available; update age: 20 days,Ask for refreshed evidence before relying on this signal.
EPR-009,Cloud Cost Controls,Sponsor 9,Owner 9,PMO Governance Operations Log,Capacity Pressure,High,Shared data/platform team capacity constraint.,Capacity pressure field populated,Review commitment risk and route sequencing question if needed.
EPR-009,Cloud Cost Controls,Sponsor 9,Owner 9,PMO Governance Operations Log,Signal Quality,Medium,Stale green status,Evidence: Recent owner update and milestone evidence available; update age: 19 days,Ask for refreshed evidence before relying on this signal.
EPR-010,Support Knowledge Base Redesign,Sponsor 1,Owner 10,PMO Governance Operations Log,Signal Quality,Medium,Stale green status,Evidence: Weak evidence: green status relies on verbal update only.; update age: 18 days,Ask for refreshed evidence before relying on this signal.
EPR-011,Entitlement Audit Automation,Sponsor 2,Owner 11,PMO Governance Operations Log,Risk,Medium,"Compliance, security, or audit exposure may increase if milestone slips.",Risk field populated,"Summarize impact, mitigation, owner, and escalation need."
EPR-011,Entitlement Audit Automation,Sponsor 2,Owner 11,PMO Governance Operations Log,Signal Quality,Medium,Stale green status,Evidence: Recent owner update and milestone evidence available; update age: 17 days,Ask for refreshed evidence before relying on this signal.
EPR-012,Partner Launch Readiness,Sponsor 3,Owner 12,PMO Governance Operations Log,Dependency,Medium,Depends on Data Platform Stabilization readiness,Dependency field populated,Assess sequencing impact and hand off if deeper capacity planning is needed.
EPR-012,Partner Launch Readiness,Sponsor 3,Owner 12,PMO Governance Operations Log,Signal Quality,Medium,Weak or stale signal,Evidence: Recent owner update and milestone evidence available; update age: 16 days,Ask for refreshed evidence before relying on this signal.
EPR-013,Contract Renewal Dashboard,Sponsor 4,Owner 1,PMO Governance Operations Log,Signal Quality,Medium,Stale green status,Evidence: Recent owner update and milestone evidence available; update age: 15 days,Ask for refreshed evidence before relying on this signal.
EPR-014,Data Retention Rules,Sponsor 5,Owner 2,PMO Governance Operations Log,Risk,Medium,"Compliance, security, or audit exposure may increase if milestone slips.",Risk field populated,"Summarize impact, mitigation, owner, and escalation need."
EPR-015,ERP Interface Hardening,Sponsor 6,Owner 3,PMO Governance Operations Log,Blocker,High,Blocked by unresolved process owner or SME availability.,Blocker field populated,Identify sponsor action or accountable path to unblock.
EPR-016,Workforce Planning Dataset,Sponsor 7,Owner 4,PMO Governance Operations Log,Routine Status,Low,Routine update; no executive action detected.,Routine delivery update with no executive action requested.,Include only in summary rollup unless executive attention is requested.
EPR-017,Incident Trend Analytics,Sponsor 8,Owner 5,PMO Governance Operations Log,Capacity Pressure,High,Shared data/platform team capacity constraint.,Capacity pressure field populated,Review commitment risk and route sequencing question if needed.
EPR-018,Executive KPI Refresh,Sponsor 9,Owner 6,PMO Governance Operations Log,Signal Quality,Medium,Stale green status,Evidence: Weak evidence: green status relies on verbal update only.; update age: 10 days,Ask for refreshed evidence before relying on this signal.
EPR-019,Quote Exception Review,Sponsor 1,Owner 7,PMO Governance Operations Log,Routine Status,Low,Routine update; no executive action detected.,Routine delivery update with no executive action requested.,Include only in summary rollup unless executive attention is requested.
EPR-020,Access Review Workflow,Sponsor 2,Owner 8,PMO Governance Operations Log,Risk,Medium,"Compliance, security, or audit exposure may increase if milestone slips.",Risk field populated,"Summarize impact, mitigation, owner, and escalation need."
EPR-021,Product Telemetry Cleanup,Sponsor 3,Owner 9,PMO Governance Operations Log,Routine Status,Low,Routine update; no executive action detected.,Routine delivery update with no executive action requested.,Include only in summary rollup unless executive attention is requested.
EPR-022,Procurement Approval Simplification,Sponsor 4,Owner 10,PMO Governance Operations Log,Routine Status,Low,Routine update; no executive action detected.,Routine delivery update with no executive action requested.,Include only in summary rollup unless executive attention is requested.
EPR-023,Customer Segmentation Refresh,Sponsor 5,Owner 11,PMO Governance Operations Log,Dependency,Medium,Depends on Data Platform Stabilization readiness,Dependency field populated,Assess sequencing impact and hand off if deeper capacity planning is needed.
EPR-024,Integration Monitoring Upgrade,Sponsor 6,Owner 12,PMO Governance Operations Log,Signal Quality,Medium,Stale green status,Evidence: Weak evidence: green status relies on verbal update only.; update age: 28 days,Ask for refreshed evidence before relying on this signal.
EPR-025,Training Readiness Portal,Sponsor 7,Owner 1,PMO Governance Operations Log,Signal Quality,Medium,Weak or stale signal,Evidence: Recent owner update and milestone evidence available; update age: 27 days,Ask for refreshed evidence before relying on this signal.
EPR-026,Forecast Variance Review,Sponsor 8,Owner 2,PMO Governance Operations Log,Signal Quality,Medium,Stale green status,Evidence: Recent owner update and milestone evidence available; update age: 26 days,Ask for refreshed evidence before relying on this signal.
EPR-027,Legacy Report Retirement,Sponsor 9,Owner 3,PMO Governance Operations Log,Signal Quality,Medium,Weak or stale signal,Evidence: Recent owner update and milestone evidence available; update age: 25 days,Ask for refreshed evidence before relying on this signal.
EPR-028,Release Readiness Evidence Pack,Sponsor 1,Owner 4,PMO Governance Operations Log,Signal Quality,Medium,Stale green status,Evidence: Recent owner update and milestone evidence available; update age: 24 days,Ask for refreshed evidence before relying on this signal.
EPR-029,Audit Finding Closure Track,Sponsor 2,Owner 5,PMO Governance Operations Log,Risk,Medium,"Compliance, security, or audit exposure may increase if milestone slips.",Risk field populated,"Summarize impact, mitigation, owner, and escalation need."
EPR-029,Audit Finding Closure Track,Sponsor 2,Owner 5,PMO Governance Operations Log,Sponsor Action,High,Sponsor escalation requested for decision and cross-team alignment.,Sponsor action field populated,Add to sponsor action register with owner and date.
EPR-029,Audit Finding Closure Track,Sponsor 2,Owner 5,PMO Governance Operations Log,Signal Quality,Medium,Stale green status,Evidence: Recent owner update and milestone evidence available; update age: 23 days,Ask for refreshed evidence before relying on this signal.
EPR-030,Service Catalog Cleanup,Sponsor 3,Owner 6,PMO Governance Operations Log,Blocker,High,Blocked by unresolved process owner or SME availability.,Blocker field populated,Identify sponsor action or accountable path to unblock.
EPR-030,Service Catalog Cleanup,Sponsor 3,Owner 6,PMO Governance Operations Log,Signal Quality,Medium,Weak or stale signal,Evidence: Recent owner update and milestone evidence available; update age: 22 days,Ask for refreshed evidence before relying on this signal.
EPR-031,Data Quality Exception Queue,Sponsor 4,Owner 7,PMO Governance Operations Log,Capacity Pressure,High,Shared data/platform team capacity constraint.,Capacity pressure field populated,Review commitment risk and route sequencing question if needed.
EPR-031,Data Quality Exception Queue,Sponsor 4,Owner 7,PMO Governance Operations Log,Signal Quality,Medium,Stale green status,Evidence: Recent owner update and milestone evidence available; update age: 21 days,Ask for refreshed evidence before relying on this signal.
EPR-032,Enterprise Intake Form Cleanup,Sponsor 5,Owner 8,PMO Governance Operations Log,Signal Quality,Medium,Weak or stale signal,Evidence: Recent owner update and milestone evidence available; update age: 20 days,Ask for refreshed evidence before relying on this signal.
EPR-033,Customer Notification Template Refresh,Sponsor 6,Owner 9,PMO Governance Operations Log,Signal Quality,Medium,Stale green status,Evidence: Recent owner update and milestone evidence available; update age: 19 days,Ask for refreshed evidence before relying on this signal.
EPR-034,Portfolio Metrics Reconciliation,Sponsor 7,Owner 10,PMO Governance Operations Log,Signal Quality,Medium,Stale green status,Evidence: Weak evidence: green status relies on verbal update only.; update age: 18 days,Ask for refreshed evidence before relying on this signal.
EPR-035,Integration Contract Registry,Sponsor 8,Owner 11,PMO Governance Operations Log,Signal Quality,Medium,Weak or stale signal,Evidence: Recent owner update and milestone evidence available; update age: 17 days,Ask for refreshed evidence before relying on this signal.
EPR-036,Change Advisory Prep Automation,Sponsor 9,Owner 12,PMO Governance Operations Log,Risk,Medium,"Compliance, security, or audit exposure may increase if milestone slips.",Risk field populated,"Summarize impact, mitigation, owner, and escalation need."
EPR-036,Change Advisory Prep Automation,Sponsor 9,Owner 12,PMO Governance Operations Log,Signal Quality,Medium,Stale green status,Evidence: Recent owner update and milestone evidence available; update age: 16 days,Ask for refreshed evidence before relying on this signal.
EPR-037,Operations Handoff Playbook,Sponsor 1,Owner 1,PMO Governance Operations Log,Signal Quality,Medium,Weak or stale signal,Evidence: Recent owner update and milestone evidence available; update age: 15 days,Ask for refreshed evidence before relying on this signal.
EPR-038,Monthly Value Story Pack,Sponsor 2,Owner 2,PMO Governance Operations Log,Signal Quality,Medium,Stale green status,Evidence: Weak evidence: green status relies on verbal update only.; update age: 14 days,Ask for refreshed evidence before relying on this signal.
STL-001,Legacy CRM Archive Access,Sponsor 3,Owner 3,PMO Governance Operations Log,Stalled Item,High,"Item is stalled and needs disposition, owner confirmation, or closure decision.","Stalled item requires disposition, owner confirmation, or closure decision.",Route to PMO Governance Operations Log for follow-through.
STL-001,Legacy CRM Archive Access,Sponsor 3,Owner 3,PMO Governance Operations Log,Signal Quality,Medium,Weak or stale signal,Evidence: Missing current evidence; no refreshed owner update.; update age: 13 days,Ask for refreshed evidence before relying on this signal.
STL-002,Fulfillment Exception Workflow,Sponsor 4,Owner 4,PMO Governance Operations Log,Stalled Item,High,"Item is stalled and needs disposition, owner confirmation, or closure decision.","Stalled item requires disposition, owner confirmation, or closure decision.",Route to PMO Governance Operations Log for follow-through.
STL-002,Fulfillment Exception Workflow,Sponsor 4,Owner 4,PMO Governance Operations Log,Dependency,Medium,Depends on Partner Portal Role Redesign decision,Dependency field populated,Assess sequencing impact and hand off if deeper capacity planning is needed.
STL-002,Fulfillment Exception Workflow,Sponsor 4,Owner 4,PMO Governance Operations Log,Signal Quality,Medium,Weak or stale signal,Evidence: Stale update; last evidence does not support current commitment.; update age: 12 days,Ask for refreshed evidence before relying on this signal.
STL-003,Regional Tax Feed Cleanup,Sponsor 5,Owner 5,PMO Governance Operations Log,Stalled Item,High,"Item is stalled and needs disposition, owner confirmation, or closure decision.","Stalled item requires disposition, owner confirmation, or closure decision.",Route to PMO Governance Operations Log for follow-through.
STL-003,Regional Tax Feed Cleanup,Sponsor 5,Owner 5,PMO Governance Operations Log,Blocker,High,Blocked by unresolved process owner or SME availability.,Blocker field populated,Identify sponsor action or accountable path to unblock.
STL-003,Regional Tax Feed Cleanup,Sponsor 5,Owner 5,PMO Governance Operations Log,Signal Quality,Medium,Weak or stale signal,Evidence: Missing current evidence; no refreshed owner update.; update age: 11 days,Ask for refreshed evidence before relying on this signal.
STL-004,Partner Portal Role Redesign,Sponsor 6,Owner 6,PMO Governance Operations Log,Stalled Item,High,"Item is stalled and needs disposition, owner confirmation, or closure decision.","Stalled item requires disposition, owner confirmation, or closure decision.",Route to PMO Governance Operations Log for follow-through.
STL-004,Partner Portal Role Redesign,Sponsor 6,Owner 6,PMO Governance Operations Log,Signal Quality,Medium,Weak or stale signal,Evidence: Stale update; last evidence does not support current commitment.; update age: 10 days,Ask for refreshed evidence before relying on this signal.
STL-005,Billing Dispute Intake,Sponsor 7,Owner 7,PMO Governance Operations Log,Stalled Item,High,"Item is stalled and needs disposition, owner confirmation, or closure decision.","Stalled item requires disposition, owner confirmation, or closure decision.",Route to PMO Governance Operations Log for follow-through.
STL-005,Billing Dispute Intake,Sponsor 7,Owner 7,PMO Governance Operations Log,Signal Quality,Medium,Weak or stale signal,Evidence: Missing current evidence; no refreshed owner update.; update age: 9 days,Ask for refreshed evidence before relying on this signal.
STL-006,BI Workspace Consolidation,Sponsor 8,Owner 8,PMO Governance Operations Log,Stalled Item,High,"Item is stalled and needs disposition, owner confirmation, or closure decision.","Stalled item requires disposition, owner confirmation, or closure decision.",Route to PMO Governance Operations Log for follow-through.
STL-006,BI Workspace Consolidation,Sponsor 8,Owner 8,PMO Governance Operations Log,Signal Quality,Medium,Weak or stale signal,Evidence: Stale update; last evidence does not support current commitment.; update age: 8 days,Ask for refreshed evidence before relying on this signal.
STL-007,Vendor SLA Reporting,Sponsor 9,Owner 9,PMO Governance Operations Log,Stalled Item,High,"Item is stalled and needs disposition, owner confirmation, or closure decision.","Stalled item requires disposition, owner confirmation, or closure decision.",Route to PMO Governance Operations Log for follow-through.
STL-007,Vendor SLA Reporting,Sponsor 9,Owner 9,PMO Governance Operations Log,Blocker,High,Blocked by unresolved process owner or SME availability.,Blocker field populated,Identify sponsor action or accountable path to unblock.
STL-007,Vendor SLA Reporting,Sponsor 9,Owner 9,PMO Governance Operations Log,Signal Quality,Medium,Weak or stale signal,Evidence: Missing current evidence; no refreshed owner update.; update age: 7 days,Ask for refreshed evidence before relying on this signal.
STL-008,Mobile Device Policy Refresh,Sponsor 1,Owner 10,PMO Governance Operations Log,Stalled Item,High,"Item is stalled and needs disposition, owner confirmation, or closure decision.","Stalled item requires disposition, owner confirmation, or closure decision.",Route to PMO Governance Operations Log for follow-through.
STL-008,Mobile Device Policy Refresh,Sponsor 1,Owner 10,PMO Governance Operations Log,Signal Quality,Medium,Weak or stale signal,Evidence: Stale update; last evidence does not support current commitment.; update age: 6 days,Ask for refreshed evidence before relying on this signal.
STL-009,Product Catalog Attribute Cleanup,Sponsor 2,Owner 11,PMO Governance Operations Log,Stalled Item,High,"Item is stalled and needs disposition, owner confirmation, or closure decision.","Stalled item requires disposition, owner confirmation, or closure decision.",Route to PMO Governance Operations Log for follow-through.
STL-009,Product Catalog Attribute Cleanup,Sponsor 2,Owner 11,PMO Governance Operations Log,Signal Quality,Medium,Weak or stale signal,Evidence: Missing current evidence; no refreshed owner update.; update age: 5 days,Ask for refreshed evidence before relying on this signal.
STL-010,Executive Dashboard Backlog,Sponsor 3,Owner 12,PMO Governance Operations Log,Stalled Item,High,"Item is stalled and needs disposition, owner confirmation, or closure decision.","Stalled item requires disposition, owner confirmation, or closure decision.",Route to PMO Governance Operations Log for follow-through.
STL-010,Executive Dashboard Backlog,Sponsor 3,Owner 12,PMO Governance Operations Log,Signal Quality,Medium,Weak or stale signal,Evidence: Stale update; last evidence does not support current commitment.; update age: 28 days,Ask for refreshed evidence before relying on this signal.
STL-011,Training Completion Evidence,Sponsor 4,Owner 1,PMO Governance Operations Log,Stalled Item,High,"Item is stalled and needs disposition, owner confirmation, or closure decision.","Stalled item requires disposition, owner confirmation, or closure decision.",Route to PMO Governance Operations Log for follow-through.
STL-011,Training Completion Evidence,Sponsor 4,Owner 1,PMO Governance Operations Log,Signal Quality,Medium,Weak or stale signal,Evidence: Missing current evidence; no refreshed owner update.; update age: 27 days,Ask for refreshed evidence before relying on this signal.
