initiative_id,initiative_name,portfolio_area,status,sponsor,owner,stage,priority,update_date,health,summary,decision_needed,decision_request,options,risk,blocker,dependency,capacity_pressure,funding_constraint,sponsor_action,evidence,next_review,target_commitment,handoff
EPR-001,Customer Identity Consolidation,Digital Platform,Active,Sponsor 1,Owner 1,Execution,Medium,2026-05-02,Yellow,Executive decision required before commitment can be confirmed.,Yes,Approve scope deferral for non-critical reporting fields,Defer scope vs add funding for full scope,,,,,Funding constraint: incremental support not approved for current quarter.,,Recent owner update and milestone evidence available,2026-06-05,Q3 commitment under review,PMO Governance Operations Log
EPR-002,Billing Rules Cleanup,Finance Systems,Active,Sponsor 2,Owner 2,Execution,Low,2026-05-03,Yellow,Executive decision required before commitment can be confirmed.,Yes,Choose whether portal launch waits for Data Platform stabilization,Hold launch vs launch limited beta,,,Depends on Data Platform Stabilization readiness,Shared data/platform team capacity constraint.,Funding constraint: incremental support not approved for current quarter.,,Recent owner update and milestone evidence available,2026-06-05,Q3 commitment under review,PMO Governance Operations Log
EPR-003,Field Service Mobile Refresh,Operations,Active,Sponsor 3,Owner 3,Execution,High,2026-05-04,Yellow,Progress blocked pending owner or SME decision.,Yes,Confirm adoption evidence threshold before field rollout,Proceed with pilot vs delay until training completion improves,,Blocked by unresolved process owner or SME availability.,,,,Sponsor escalation requested for decision and cross-team alignment.,Recent owner update and milestone evidence available,2026-06-05,Q3 commitment under review,PMO Governance Operations Log
EPR-004,Data Platform Stabilization,Data Foundation,Active,Sponsor 4,Owner 4,Execution,Medium,2026-05-05,Green,Executive decision required before commitment can be confirmed.,Yes,Decide whether forecasting controls proceed with reduced scope,Proceed reduced scope vs sequence after Data Platform stabilization,,,Depends on Data Platform Stabilization readiness,Shared data/platform team capacity constraint.,,,Weak evidence: green status relies on verbal update only.,2026-06-05,On track if current assumptions hold,PMO Governance Operations Log
EPR-005,Revenue Forecasting Controls,Finance Controls,Active,Sponsor 5,Owner 5,Execution,Low,2026-05-06,Red,Funding constraint requires sponsor visibility before Q3 commitment is confirmed.,No,,,,,,Shared data/platform team capacity constraint.,Funding constraint: incremental support not approved for current quarter.,,Recent owner update and milestone evidence available,2026-06-05,Q3 commitment under review,PMO Governance Operations Log
EPR-006,Customer Portal Modernization,Digital Experience,Active,Sponsor 6,Owner 6,Execution,High,2026-05-07,Green,Routine delivery update with no executive action requested.,No,,,,,Depends on Data Platform Stabilization readiness,,,,Recent owner update and milestone evidence available,2026-06-05,On track if current assumptions hold,PMO Governance Operations Log
EPR-007,Regulatory Reporting Remediation,Compliance,Active,Sponsor 7,Owner 7,Execution,Medium,2026-05-08,Yellow,Routine delivery update with no executive action requested.,No,,,"Compliance, security, or audit exposure may increase if milestone slips.",,,,,Sponsor escalation requested for decision and cross-team alignment.,Recent owner update and milestone evidence available,2026-06-05,Q3 commitment under review,PMO Governance Operations Log
EPR-008,Vendor Onboarding Workflow,Procurement Ops,Active,Sponsor 8,Owner 8,Execution,Low,2026-05-09,Green,Progress blocked pending owner or SME decision.,No,,,,Blocked by unresolved process owner or SME availability.,,,,,Recent owner update and milestone evidence available,2026-06-05,On track if current assumptions hold,PMO Governance Operations Log
EPR-009,Cloud Cost Controls,Infrastructure,Active,Sponsor 9,Owner 9,Execution,High,2026-05-10,Green,Routine delivery update with no executive action requested.,No,,,,,,Shared data/platform team capacity constraint.,,,Recent owner update and milestone evidence available,2026-06-05,On track if current assumptions hold,PMO Governance Operations Log
EPR-010,Support Knowledge Base Redesign,Customer Support,Active,Sponsor 1,Owner 10,Execution,Medium,2026-05-11,Green,Routine delivery update with no executive action requested.,No,,,,,,,,,Weak evidence: green status relies on verbal update only.,2026-06-05,On track if current assumptions hold,PMO Governance Operations Log
EPR-011,Entitlement Audit Automation,Security Operations,Active,Sponsor 2,Owner 11,Execution,Low,2026-05-12,Green,Routine delivery update with no executive action requested.,No,,,"Compliance, security, or audit exposure may increase if milestone slips.",,,,,,Recent owner update and milestone evidence available,2026-06-05,On track if current assumptions hold,PMO Governance Operations Log
EPR-012,Partner Launch Readiness,GTM Operations,Active,Sponsor 3,Owner 12,Execution,High,2026-05-13,Yellow,Routine delivery update with no executive action requested.,No,,,,,Depends on Data Platform Stabilization readiness,,,,Recent owner update and milestone evidence available,2026-06-05,Q3 commitment under review,PMO Governance Operations Log
EPR-013,Contract Renewal Dashboard,Revenue Operations,Active,Sponsor 4,Owner 1,Execution,Medium,2026-05-14,Green,Routine delivery update with no executive action requested.,No,,,,,,,,,Recent owner update and milestone evidence available,2026-06-05,On track if current assumptions hold,PMO Governance Operations Log
EPR-014,Data Retention Rules,Compliance,Active,Sponsor 5,Owner 2,Execution,Low,2026-05-15,Green,Routine delivery update with no executive action requested.,No,,,"Compliance, security, or audit exposure may increase if milestone slips.",,,,,,Recent owner update and milestone evidence available,2026-06-05,On track if current assumptions hold,PMO Governance Operations Log
EPR-015,ERP Interface Hardening,Finance Systems,Active,Sponsor 6,Owner 3,Execution,High,2026-05-16,Yellow,Progress blocked pending owner or SME decision.,No,,,,Blocked by unresolved process owner or SME availability.,,,,,Recent owner update and milestone evidence available,2026-06-05,Q3 commitment under review,PMO Governance Operations Log
EPR-016,Workforce Planning Dataset,People Operations,Active,Sponsor 7,Owner 4,Execution,Medium,2026-05-17,Green,Routine delivery update with no executive action requested.,No,,,,,,,,,Recent owner update and milestone evidence available,2026-06-05,On track if current assumptions hold,PMO Governance Operations Log
EPR-017,Incident Trend Analytics,Infrastructure,Active,Sponsor 8,Owner 5,Execution,Low,2026-05-18,Yellow,Routine delivery update with no executive action requested.,No,,,,,,Shared data/platform team capacity constraint.,,,Recent owner update and milestone evidence available,2026-06-05,Q3 commitment under review,PMO Governance Operations Log
EPR-018,Executive KPI Refresh,Executive Ops,Active,Sponsor 9,Owner 6,Execution,High,2026-05-19,Green,Routine delivery update with no executive action requested.,No,,,,,,,,,Weak evidence: green status relies on verbal update only.,2026-06-05,On track if current assumptions hold,PMO Governance Operations Log
EPR-019,Quote Exception Review,Sales Operations,Active,Sponsor 1,Owner 7,Execution,Medium,2026-05-20,Green,Routine delivery update with no executive action requested.,No,,,,,,,,,Recent owner update and milestone evidence available,2026-06-05,On track if current assumptions hold,PMO Governance Operations Log
EPR-020,Access Review Workflow,Security Operations,Active,Sponsor 2,Owner 8,Execution,Low,2026-05-21,Yellow,Routine delivery update with no executive action requested.,No,,,"Compliance, security, or audit exposure may increase if milestone slips.",,,,,,Recent owner update and milestone evidence available,2026-06-05,Q3 commitment under review,PMO Governance Operations Log
EPR-021,Product Telemetry Cleanup,Product Operations,Active,Sponsor 3,Owner 9,Execution,High,2026-05-22,Green,Routine delivery update with no executive action requested.,No,,,,,,,,,Recent owner update and milestone evidence available,2026-06-05,On track if current assumptions hold,PMO Governance Operations Log
EPR-022,Procurement Approval Simplification,Procurement Ops,Active,Sponsor 4,Owner 10,Execution,Medium,2026-05-23,Yellow,Routine delivery update with no executive action requested.,No,,,,,,,,,Recent owner update and milestone evidence available,2026-06-05,Q3 commitment under review,PMO Governance Operations Log
EPR-023,Customer Segmentation Refresh,Marketing Ops,Active,Sponsor 5,Owner 11,Execution,Low,2026-05-24,Green,Routine delivery update with no executive action requested.,No,,,,,Depends on Data Platform Stabilization readiness,,,,Recent owner update and milestone evidence available,2026-06-05,On track if current assumptions hold,PMO Governance Operations Log
EPR-024,Integration Monitoring Upgrade,Infrastructure,Active,Sponsor 6,Owner 12,Execution,High,2026-05-01,Green,Routine delivery update with no executive action requested.,No,,,,,,,,,Weak evidence: green status relies on verbal update only.,2026-06-05,On track if current assumptions hold,PMO Governance Operations Log
EPR-025,Training Readiness Portal,Enablement,Active,Sponsor 7,Owner 1,Execution,Medium,2026-05-02,Yellow,Routine delivery update with no executive action requested.,No,,,,,,,,,Recent owner update and milestone evidence available,2026-06-05,Q3 commitment under review,PMO Governance Operations Log
EPR-026,Forecast Variance Review,Finance Controls,Active,Sponsor 8,Owner 2,Execution,Low,2026-05-03,Green,Routine delivery update with no executive action requested.,No,,,,,,,,,Recent owner update and milestone evidence available,2026-06-05,On track if current assumptions hold,PMO Governance Operations Log
EPR-027,Legacy Report Retirement,Data Foundation,Active,Sponsor 9,Owner 3,Execution,High,2026-05-04,Yellow,Routine delivery update with no executive action requested.,No,,,,,,,,,Recent owner update and milestone evidence available,2026-06-05,Q3 commitment under review,PMO Governance Operations Log
EPR-028,Release Readiness Evidence Pack,Delivery Governance,Active,Sponsor 1,Owner 4,Execution,Medium,2026-05-05,Green,Routine delivery update with no executive action requested.,No,,,,,,,,,Recent owner update and milestone evidence available,2026-06-05,On track if current assumptions hold,PMO Governance Operations Log
EPR-029,Audit Finding Closure Track,Compliance,Active,Sponsor 2,Owner 5,Execution,Low,2026-05-06,Green,Routine delivery update with no executive action requested.,No,,,"Compliance, security, or audit exposure may increase if milestone slips.",,,,,Sponsor escalation requested for decision and cross-team alignment.,Recent owner update and milestone evidence available,2026-06-05,On track if current assumptions hold,PMO Governance Operations Log
EPR-030,Service Catalog Cleanup,IT Operations,Active,Sponsor 3,Owner 6,Execution,High,2026-05-07,Yellow,Progress blocked pending owner or SME decision.,No,,,,Blocked by unresolved process owner or SME availability.,,,,,Recent owner update and milestone evidence available,2026-06-05,Q3 commitment under review,PMO Governance Operations Log
EPR-031,Data Quality Exception Queue,Data Foundation,Active,Sponsor 4,Owner 7,Execution,Medium,2026-05-08,Green,Routine delivery update with no executive action requested.,No,,,,,,Shared data/platform team capacity constraint.,,,Recent owner update and milestone evidence available,2026-06-05,On track if current assumptions hold,PMO Governance Operations Log
EPR-032,Enterprise Intake Form Cleanup,PMO Operations,Active,Sponsor 5,Owner 8,Execution,Low,2026-05-09,Yellow,Routine delivery update with no executive action requested.,No,,,,,,,,,Recent owner update and milestone evidence available,2026-06-05,Q3 commitment under review,PMO Governance Operations Log
EPR-033,Customer Notification Template Refresh,Customer Operations,Active,Sponsor 6,Owner 9,Execution,High,2026-05-10,Green,Routine delivery update with no executive action requested.,No,,,,,,,,,Recent owner update and milestone evidence available,2026-06-05,On track if current assumptions hold,PMO Governance Operations Log
EPR-034,Portfolio Metrics Reconciliation,EPMO,Active,Sponsor 7,Owner 10,Execution,Medium,2026-05-11,Green,Routine delivery update with no executive action requested.,No,,,,,,,,,Weak evidence: green status relies on verbal update only.,2026-06-05,On track if current assumptions hold,PMO Governance Operations Log
EPR-035,Integration Contract Registry,Architecture,Active,Sponsor 8,Owner 11,Execution,Low,2026-05-12,Yellow,Routine delivery update with no executive action requested.,No,,,,,,,,,Recent owner update and milestone evidence available,2026-06-05,Q3 commitment under review,PMO Governance Operations Log
EPR-036,Change Advisory Prep Automation,IT Operations,Active,Sponsor 9,Owner 12,Execution,High,2026-05-13,Green,Routine delivery update with no executive action requested.,No,,,"Compliance, security, or audit exposure may increase if milestone slips.",,,,,,Recent owner update and milestone evidence available,2026-06-05,On track if current assumptions hold,PMO Governance Operations Log
EPR-037,Operations Handoff Playbook,Delivery Governance,Active,Sponsor 1,Owner 1,Execution,Medium,2026-05-14,Yellow,Routine delivery update with no executive action requested.,No,,,,,,,,,Recent owner update and milestone evidence available,2026-06-05,Q3 commitment under review,PMO Governance Operations Log
EPR-038,Monthly Value Story Pack,Executive Ops,Active,Sponsor 2,Owner 2,Execution,Low,2026-05-15,Green,Routine delivery update with no executive action requested.,No,,,,,,,,,Weak evidence: green status relies on verbal update only.,2026-06-05,On track if current assumptions hold,PMO Governance Operations Log
STL-001,Legacy CRM Archive Access,Stalled Demand,Stalled,Sponsor 3,Owner 3,Hold,High,2026-05-16,Red,"Stalled item requires disposition, owner confirmation, or closure decision.",No,,,,,,,,,Missing current evidence; no refreshed owner update.,2026-06-05,Q3 commitment under review,PMO Governance Operations Log
STL-002,Fulfillment Exception Workflow,Stalled Demand,Stalled,Sponsor 4,Owner 4,Hold,Medium,2026-05-17,Red,"Stalled item requires disposition, owner confirmation, or closure decision.",No,,,,,Depends on Partner Portal Role Redesign decision,,,,Stale update; last evidence does not support current commitment.,2026-06-05,Q3 commitment under review,PMO Governance Operations Log
STL-003,Regional Tax Feed Cleanup,Stalled Demand,Stalled,Sponsor 5,Owner 5,Hold,Low,2026-05-18,Red,"Stalled item requires disposition, owner confirmation, or closure decision.",No,,,,Blocked by unresolved process owner or SME availability.,,,,,Missing current evidence; no refreshed owner update.,2026-06-05,Q3 commitment under review,PMO Governance Operations Log
STL-004,Partner Portal Role Redesign,Stalled Demand,Stalled,Sponsor 6,Owner 6,Hold,High,2026-05-19,Red,"Stalled item requires disposition, owner confirmation, or closure decision.",No,,,,,,,,,Stale update; last evidence does not support current commitment.,2026-06-05,Q3 commitment under review,PMO Governance Operations Log
STL-005,Billing Dispute Intake,Stalled Demand,Stalled,Sponsor 7,Owner 7,Hold,Medium,2026-05-20,Red,"Stalled item requires disposition, owner confirmation, or closure decision.",No,,,,,,,,,Missing current evidence; no refreshed owner update.,2026-06-05,Q3 commitment under review,PMO Governance Operations Log
STL-006,BI Workspace Consolidation,Stalled Demand,Stalled,Sponsor 8,Owner 8,Hold,Low,2026-05-21,Red,"Stalled item requires disposition, owner confirmation, or closure decision.",No,,,,,,,,,Stale update; last evidence does not support current commitment.,2026-06-05,Q3 commitment under review,PMO Governance Operations Log
STL-007,Vendor SLA Reporting,Stalled Demand,Stalled,Sponsor 9,Owner 9,Hold,High,2026-05-22,Red,"Stalled item requires disposition, owner confirmation, or closure decision.",No,,,,Blocked by unresolved process owner or SME availability.,,,,,Missing current evidence; no refreshed owner update.,2026-06-05,Q3 commitment under review,PMO Governance Operations Log
STL-008,Mobile Device Policy Refresh,Stalled Demand,Stalled,Sponsor 1,Owner 10,Hold,Medium,2026-05-23,Red,"Stalled item requires disposition, owner confirmation, or closure decision.",No,,,,,,,,,Stale update; last evidence does not support current commitment.,2026-06-05,Q3 commitment under review,PMO Governance Operations Log
STL-009,Product Catalog Attribute Cleanup,Stalled Demand,Stalled,Sponsor 2,Owner 11,Hold,Low,2026-05-24,Red,"Stalled item requires disposition, owner confirmation, or closure decision.",No,,,,,,,,,Missing current evidence; no refreshed owner update.,2026-06-05,Q3 commitment under review,PMO Governance Operations Log
STL-010,Executive Dashboard Backlog,Stalled Demand,Stalled,Sponsor 3,Owner 12,Hold,High,2026-05-01,Red,"Stalled item requires disposition, owner confirmation, or closure decision.",No,,,,,,,,,Stale update; last evidence does not support current commitment.,2026-06-05,Q3 commitment under review,PMO Governance Operations Log
STL-011,Training Completion Evidence,Stalled Demand,Stalled,Sponsor 4,Owner 1,Hold,Medium,2026-05-02,Red,"Stalled item requires disposition, owner confirmation, or closure decision.",No,,,,,,,,,Missing current evidence; no refreshed owner update.,2026-06-05,Q3 commitment under review,PMO Governance Operations Log
